,Close
2005-07-05,6.83
2005-07-06,6.916
2005-07-07,6.949
2005-07-08,6.994
2005-07-11,7.069
2005-07-12,7.048
2005-07-13,7.033
2005-07-14,6.961
2005-07-15,6.956
2005-07-18,6.974
2005-07-19,6.954
2005-07-20,7.038
2005-07-21,7.106
2005-07-22,7.086
2005-07-25,7.113
2005-07-26,6.993
2005-07-27,7.015
2005-07-28,7.2
2005-07-29,7.262
2005-08-01,7.305
2005-08-02,7.262
2005-08-03,7.307
2005-08-04,7.252
2005-08-05,7.158
2005-08-08,7.015
2005-08-09,7.035
2005-08-10,7.078
2005-08-11,7.183
2005-08-12,7.09
2005-08-15,6.965
2005-08-16,7.043
2005-08-17,6.993
2005-08-18,6.998
2005-08-19,7.008
2005-08-22,7.06
2005-08-23,6.968
2005-08-24,6.922
2005-08-25,6.832
2005-08-26,6.742
2005-08-29,6.73
2005-08-30,6.691
2005-08-31,6.781
2005-09-01,6.966
2005-09-02,7.008
2005-09-06,7.031
2005-09-07,7.051
2005-09-08,6.966
2005-09-09,7.003
2005-09-12,6.998
2005-09-13,6.943
2005-09-14,6.986
2005-09-15,7.019
2005-09-16,7.229
2005-09-19,7.338
2005-09-20,7.315
2005-09-21,7.355
2005-09-22,7.353
2005-09-23,7.273
2005-09-26,7.307
2005-09-27,7.271
2005-09-28,7.347
2005-09-29,7.555
2005-09-30,7.512
2005-10-03,7.455
2005-10-04,7.425
2005-10-05,7.478
2005-10-06,7.595
2005-10-07,7.77
2005-10-10,7.845
2005-10-11,7.875
2005-10-12,7.838
2005-10-13,7.735
2005-10-14,7.862
2005-10-17,7.875
2005-10-18,7.835
2005-10-19,7.64
2005-10-20,7.655
2005-10-21,7.695
2005-10-24,7.708
2005-10-25,7.825
2005-10-26,7.863
2005-10-27,7.84
2005-10-28,7.82
2005-10-31,7.58
2005-11-01,7.47
2005-11-02,7.56
2005-11-03,7.623
2005-11-04,7.573
2005-11-07,7.605
2005-11-08,7.625
2005-11-09,7.678
2005-11-10,7.705
2005-11-11,7.76
2005-11-14,7.782
2005-11-15,7.787
2005-11-16,8.002
2005-11-17,8.102
2005-11-18,8.067
2005-11-21,8.133
2005-11-22,8.17
2005-11-23,8.13
2005-11-28,8.353
2005-11-29,8.296
2005-11-30,8.28
2005-12-01,8.499
2005-12-02,8.544
2005-12-05,8.632
2005-12-06,8.692
2005-12-07,8.778
2005-12-08,8.894
2005-12-09,9.0
2005-12-12,8.792
2005-12-13,8.497
2005-12-14,8.377
2005-12-15,8.549
2005-12-16,8.521
2005-12-19,8.567
2005-12-20,8.312
2005-12-21,8.353
2005-12-22,8.502
2005-12-23,8.569
2005-12-27,8.742
2005-12-28,8.865
2005-12-29,8.882
2005-12-30,8.89
2006-01-03,9.16
2006-01-04,9.17
2006-01-05,8.872
2006-01-06,9.173
2006-01-09,9.283
2006-01-10,9.015
2006-01-11,9.065
2006-01-12,9.06
2006-01-13,9.165
2006-01-17,9.073
2006-01-18,8.873
2006-01-19,9.108
2006-01-20,8.93
2006-01-23,9.073
2006-01-24,9.228
2006-01-25,9.51
2006-01-26,9.605
2006-01-27,9.605
2006-01-30,9.775
2006-01-31,9.885
2006-02-01,9.795
2006-02-02,9.877
2006-02-03,9.76
2006-02-06,9.758
2006-02-07,9.41
2006-02-08,9.44
2006-02-09,9.66
2006-02-10,9.38
2006-02-13,9.118
2006-02-14,9.315
2006-02-15,9.215
2006-02-16,9.37
2006-02-17,9.42
2006-02-21,9.545
2006-02-22,9.575
2006-02-23,9.467
2006-02-24,9.733
2006-02-27,9.602
2006-02-28,9.72
2006-03-01,9.71
2006-03-02,10.128
2006-03-03,10.161
2006-03-06,9.953
2006-03-07,10.035
2006-03-08,9.777
2006-03-09,9.903
2006-03-10,9.895
2006-03-13,10.093
2006-03-14,10.182
2006-03-15,10.287
2006-03-16,10.281
2006-03-17,10.306
2006-03-20,10.307
2006-03-21,10.516
2006-03-22,10.446
2006-03-23,10.643
2006-03-24,10.688
2006-03-27,10.848
2006-03-28,10.826
2006-03-29,11.073
2006-03-30,11.66
2006-03-31,11.52
2006-04-03,11.765
2006-04-04,11.73
2006-04-05,11.705
2006-04-06,12.045
2006-04-07,12.07
2006-04-10,12.56
2006-04-11,12.6
2006-04-12,12.663
2006-04-13,12.855
2006-04-17,13.365
2006-04-18,13.785
2006-04-19,14.522
2006-04-20,12.525
2006-04-21,12.965
2006-04-24,11.775
2006-04-25,12.56
2006-04-26,12.815
2006-04-27,12.47
2006-04-28,13.51
2006-05-01,13.852
2006-05-02,14.11
2006-05-03,13.704
2006-05-04,13.735
2006-05-05,13.792
2006-05-08,13.677
2006-05-09,14.374
2006-05-10,14.191
2006-05-11,14.846
2006-05-12,14.146
2006-05-15,13.246
2006-05-16,13.452
2006-05-17,13.157
2006-05-18,12.437
2006-05-19,12.277
2006-05-22,12.355
2006-05-23,13.1
2006-05-24,12.45
2006-05-25,12.54
2006-05-26,12.675
2006-05-30,13.07
2006-05-31,12.455
2006-06-01,11.905
2006-06-02,12.085
2006-06-05,12.295
2006-06-06,11.845
2006-06-07,11.89
2006-06-08,11.075
2006-06-09,11.21
2006-06-12,11.065
2006-06-13,9.625
2006-06-14,9.735
2006-06-15,9.97
2006-06-16,10.13
2006-06-19,9.97
2006-06-20,10.27
2006-06-21,10.42
2006-06-22,10.21
2006-06-23,10.285
2006-06-26,10.24
